"","LFC","padj","DE"
"Cre02.g110800",-2.56603912451398,3.27242967127785e-22,TRUE
"Cre02.g112250",-2.29426852683997,6.62225821330619e-23,TRUE
"Cre02.g113400",-2.59672236232682,2.35592264251871e-23,TRUE
"Cre02.g113900",2.3118006903999,0.000108598964538768,TRUE
"Cre02.g114150",2.69615635103028,3.00439026872301e-11,TRUE
"Cre02.g114950",-2.18982200859636,1.04068829453253e-06,TRUE
"Cre02.g115450",-2.00696154472495,5.33849643413098e-09,TRUE
"Cre02.g115500",-3.71305276398147,5.83579280640667e-10,TRUE
"Cre02.g115508",-2.25975298919175,2.62225489301497e-07,TRUE
"Cre02.g116100",-2.55993189561541,1.95014186487514e-34,TRUE
"Cre02.g116350",2.41751583712932,2.00785232444772e-15,TRUE
"Cre02.g117100",3.13930572680855,2.74034820208215e-20,TRUE
"Cre02.g117150",2.6952543163704,1.00328252971193e-09,TRUE
"Cre02.g117600",2.03925811880852,0.000317400710856748,TRUE
"Cre02.g118800",2.28033734659858,1.93117572756992e-15,TRUE
"Cre02.g120000",-4.66989035423058,6.25984738725074e-16,TRUE
"Cre02.g141400",2.03421813001325,2.36564991608233e-11,TRUE
"Cre02.g141600",-2.01859344320354,2.13970691104623e-06,TRUE
"Cre02.g142050",-2.21236824600495,8.36926775004313e-12,TRUE
"Cre02.g143150",2.66845752078047,4.83699978005297e-13,TRUE
"Cre02.g143900",2.82689357640969,3.68137096543452e-41,TRUE
"Cre02.g144450",-2.72424295984006,5.75033729253641e-23,TRUE
"Cre02.g144750",-3.20736434639278,7.15170617363796e-17,TRUE
"Cre02.g145200",2.33010505507136,7.81574948114315e-21,TRUE
"Cre02.g145628",-2.40290623995454,1.41133972440974e-10,TRUE
"Cre02.g145850",-2.55636159314983,1.68611118877505e-24,TRUE
"Cre02.g145900",-2.30689835070277,3.40414251093809e-22,TRUE
"Cre02.g147650",-2.22974154476863,1.48545245988381e-23,TRUE
"Cre02.g147750",-2.54547150056003,2.41292280739458e-12,TRUE
"Cre03.g148400",5.41683477836237,4.17312263736226e-08,TRUE
"Cre03.g148500",-8.55415893024637,5.2405783437234e-55,TRUE
"Cre03.g149350",-5.42833235415874,4.41542801768566e-64,TRUE
"Cre03.g149400",-2.50700100947787,8.12812018998395e-17,TRUE
"Cre03.g149650",2.05844746298027,1.75410197306228e-16,TRUE
"Cre03.g150000",2.90272368220812,1.05749359194712e-45,TRUE
"Cre03.g150500",2.22874671004904,1.78553818069501e-18,TRUE
"Cre03.g151450",-2.84918494389111,2.92785866644559e-21,TRUE
"Cre03.g151650",3.82885596151839,1.59683250843329e-08,TRUE
"Cre03.g152600",-4.15782795219773,7.24074534953708e-46,TRUE
"Cre03.g152750",-5.92252210498643,6.5736967396657e-22,TRUE
"Cre03.g153650",2.86509324408147,0.0379982546760222,TRUE
"Cre03.g153950",-2.03624701769543,7.61474158404129e-10,TRUE
"Cre03.g154950",2.84098528149139,1.21903056102733e-17,TRUE
"Cre03.g155150",2.26192793333601,0.000354179950653688,TRUE
"Cre03.g155350",2.41329593120488,2.56875378618613e-05,TRUE
"Cre03.g156850",-2.44825047642548,3.29080633160642e-24,TRUE
"Cre03.g157455",-3.23184314731783,5.56114017706987e-20,TRUE
"Cre03.g159078",-2.21006957167759,0.00330273932273747,TRUE
"Cre03.g159700",2.46440856321644,6.181814793683e-26,TRUE
"Cre03.g162500",-2.76742275285612,1.51268070610751e-23,TRUE
"Cre03.g162800",10.332550909024,7.84430368753235e-22,TRUE
"Cre03.g162850",-4.59141690892185,3.01747539183582e-88,TRUE
"Cre03.g163200",2.43139159308626,1.79605305451363e-40,TRUE
"Cre03.g163400",-4.10183334508597,1.26959029440443e-100,TRUE
"Cre03.g163650",2.69135853863744,4.04117778572406e-12,TRUE
"Cre03.g163950",2.42829090600302,1.57995277711095e-16,TRUE
"Cre03.g165700",3.09447754175871,9.12870819244541e-39,TRUE
"Cre03.g166550",-2.44542186208972,3.12911290212327e-11,TRUE
"Cre03.g166800",-2.17523159843547,3.29476366270345e-11,TRUE
"Cre03.g167350",-3.25199998414113,1.92168862496646e-09,TRUE
"Cre03.g169100",-2.45578466374405,6.10935963835413e-08,TRUE
"Cre03.g170050",-2.12500416584131,5.04478354711655e-25,TRUE
"Cre03.g170250",-3.35848516548502,1.8484350012106e-12,TRUE
"Cre03.g170600",-2.24855355436838,0.00029523322514105,TRUE
"Cre03.g171900",-3.29723553726308,1.02123669073479e-41,TRUE
"Cre03.g174250",-2.10524409034943,1.40594268501848e-20,TRUE
"Cre03.g176150",-2.75443053351174,9.87038210102613e-13,TRUE
"Cre03.g176961",-2.75297045287365,2.99969071380744e-08,TRUE
"Cre03.g177150",2.02888169792809,1.35043037483174e-06,TRUE
"Cre03.g177800",7.01981025023298,3.17062760453629e-29,TRUE
"Cre03.g178014",-2.64395000608645,0.00351701378642483,TRUE
"Cre03.g178350",-2.58954302644799,1.34792907503518e-27,TRUE
"Cre03.g178500",-2.07037084079546,3.01118515789489e-14,TRUE
"Cre03.g179200",-2.57797525386438,7.17774820058825e-109,TRUE
"Cre03.g179700",2.64739768744462,2.21298013369272e-16,TRUE
"Cre03.g180450",-2.51951270307984,3.62704050192545e-45,TRUE
"Cre03.g180750",-2.1548534867728,4.63403960384734e-05,TRUE
"Cre03.g181250",2.80403166059831,3.1605711480257e-29,TRUE
"Cre03.g182000",-2.57944362930397,5.16041734168556e-74,TRUE
"Cre03.g185700",2.6214536434922,2.1215041036963e-19,TRUE
"Cre03.g186050",-3.31757833581868,5.13689116863459e-98,TRUE
"Cre03.g187100",3.86421858895386,7.73376680365249e-06,TRUE
"Cre03.g188400",3.32282668194836,1.92531282683043e-25,TRUE
"Cre03.g190950",-2.1495243509049,2.58554718429709e-17,TRUE
"Cre03.g192050",-4.70939971223951,4.9660220136962e-28,TRUE
"Cre03.g192200",-3.45904102951645,7.76239389097728e-13,TRUE
"Cre03.g192250",-2.20853923853495,1.48072092996026e-08,TRUE
"Cre03.g195150",-3.17662461686414,2.06431823109517e-52,TRUE
"Cre03.g196800",3.46505877348009,0.03183318309667,TRUE
